Best cost: 12951.888915898788
Route #1: [0, 22, 36, 81, 37, 60, 28, 89, 21, 66, 2, 0]
Route #2: [0, 61, 17, 53, 59, 29, 52, 35, 50, 82, 51, 0]
Route #3: [0, 15, 72, 76, 57, 64, 40, 3, 23, 84, 83, 0]
Route #4: [0, 68, 18, 48, 78, 27, 49, 74, 56, 86, 63, 0]
Route #5: [0, 5, 45, 65, 20, 12, 67, 69, 80, 75, 16, 0]
Route #6: [0, 34, 87, 26, 32, 33, 11, 41, 85, 8, 6, 0]
Route #7: [0, 47, 43, 79, 30, 38, 14, 19, 44, 24, 46, 0]
Route #8: [0, 42, 25, 90, 73, 58, 77, 70, 62, 9, 39, 0]
Route #9: [0, 13, 71, 7, 4, 54, 88, 1, 31, 10, 55, 0]
Route #10: [0, 0]
