Best cost: 13900.359700967689
Route #1: [0, 45, 54, 11, 16, 32, 2, 17, 26, 53, 0]
Route #2: [0, 78, 39, 68, 55, 31, 8, 67, 79, 47, 0]
Route #3: [0, 35, 52, 21, 36, 27, 66, 70, 9, 24, 0]
Route #4: [0, 44, 3, 64, 56, 72, 7, 57, 34, 49, 0]
Route #5: [0, 29, 51, 61, 30, 50, 18, 12, 73, 5, 0]
Route #6: [0, 15, 38, 74, 19, 23, 75, 42, 62, 10, 0]
Route #7: [0, 1, 13, 14, 59, 33, 77, 4, 71, 76, 0]
Route #8: [0, 37, 69, 65, 40, 80, 20, 28, 6, 63, 0]
Route #9: [0, 46, 41, 60, 43, 81, 58, 25, 48, 22, 0]
Route #10: [0, 0]
